Geography,Time arriving a,Main mode of co,Total - Commuting duration
0004.03 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",385.0
0004.03 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0004.03 - Barrie,Total - Time arriving at work,    Public transit,45.0
0004.03 - Barrie,Total - Time arriving at work,    Active transportation,35.0
0004.03 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0004.04 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",260.0
0004.04 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0004.04 - Barrie,Total - Time arriving at work,    Public transit,0.0
0004.04 - Barrie,Total - Time arriving at work,    Active transportation,45.0
0004.04 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0004.05 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",535.0
0004.05 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0004.05 - Barrie,Total - Time arriving at work,    Public transit,10.0
0004.05 - Barrie,Total - Time arriving at work,    Active transportation,25.0
0004.05 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0004.06 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",160.0
0004.06 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0004.06 - Barrie,Total - Time arriving at work,    Public transit,0.0
0004.06 - Barrie,Total - Time arriving at work,    Active transportation,0.0
0004.06 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0004.07 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",355.0
0004.07 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",65.0
0004.07 - Barrie,Total - Time arriving at work,    Public transit,20.0
0004.07 - Barrie,Total - Time arriving at work,    Active transportation,40.0
0004.07 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0005.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",1155.0
0005.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",90.0
0005.00 - Barrie,Total - Time arriving at work,    Public transit,55.0
0005.00 - Barrie,Total - Time arriving at work,    Active transportation,40.0
0005.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0006.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",2810.0
0006.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",170.0
0006.00 - Barrie,Total - Time arriving at work,    Public transit,90.0
0006.00 - Barrie,Total - Time arriving at work,    Active transportation,205.0
