Geography,Time arriving a,Main mode of co,Total - Commuting duration
0011.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",340.0
0011.01 - Barrie,Total - Time arriving at work,    Public transit,180.0
0011.01 - Barrie,Total - Time arriving at work,    Active transportation,195.0
0011.01 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0011.02 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",365.0
0011.02 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",85.0
0011.02 - Barrie,Total - Time arriving at work,    Public transit,45.0
0011.02 - Barrie,Total - Time arriving at work,    Active transportation,70.0
0011.02 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0012.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",635.0
0012.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0012.01 - Barrie,Total - Time arriving at work,    Public transit,25.0
0012.01 - Barrie,Total - Time arriving at work,    Active transportation,50.0
0012.01 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0012.02 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",1135.0
0012.02 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",155.0
0012.02 - Barrie,Total - Time arriving at work,    Public transit,35.0
0012.02 - Barrie,Total - Time arriving at work,    Active transportation,100.0
0012.02 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0013.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",500.0
0013.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",50.0
0013.00 - Barrie,Total - Time arriving at work,    Public transit,10.0
0013.00 - Barrie,Total - Time arriving at work,    Active transportation,70.0
0013.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0014.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",290.0
0014.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0014.00 - Barrie,Total - Time arriving at work,    Public transit,30.0
0014.00 - Barrie,Total - Time arriving at work,    Active transportation,30.0
0014.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0015.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",3075.0
0015.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",155.0
0015.01 - Barrie,Total - Time arriving at work,    Public transit,30.0
0015.01 - Barrie,Total - Time arriving at work,    Active transportation,80.0
0015.01 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0015.02 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",295.0
0015.02 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0015.02 - Barrie,Total - Time arriving at work,    Public transit,15.0
0015.02 - Barrie,Total - Time arriving at work,    Active transportation,15.0
0015.02 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0015.03 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",170.0
0015.03 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0015.03 - Barrie,Total - Time arriving at work,    Public transit,0.0
0015.03 - Barrie,Total - Time arriving at work,    Active transportation,25.0
0015.03 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0016.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",2420.0
0016.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",310.0
0016.00 - Barrie,Total - Time arriving at work,    Public transit,80.0
0016.00 - Barrie,Total - Time arriving at work,    Active transportation,170.0
0016.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0100.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",150.0
0100.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0100.00 - Barrie,Total - Time arriving at work,    Public transit,0.0
0100.00 - Barrie,Total - Time arriving at work,    Active transportation,15.0
0100.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0101.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",2325.0
0101.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",200.0
0101.00 - Barrie,Total - Time arriving at work,    Public transit,0.0
0101.00 - Barrie,Total - Time arriving at work,    Active transportation,90.0
0101.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0102.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",155.0
0102.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0102.01 - Barrie,Total - Time arriving at work,    Public transit,15.0
0102.01 - Barrie,Total - Time arriving at work,    Active transportation,15.0
0102.01 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0102.02 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",20.0
0102.02 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0102.02 - Barrie,Total - Time arriving at work,    Public transit,0.0
0102.02 - Barrie,Total - Time arriving at work,    Active transportation,0.0
0102.02 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0102.03 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",610.0
0102.03 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",65.0
0102.03 - Barrie,Total - Time arriving at work,    Public transit,0.0
0102.03 - Barrie,Total - Time arriving at work,    Active transportation,40.0
0102.03 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0102.04 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",80.0
0102.04 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0102.04 - Barrie,Total - Time arriving at work,    Public transit,0.0
0102.04 - Barrie,Total - Time arriving at work,    Active transportation,0.0
0102.04 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0103.03 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",150.0
0103.03 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0103.03 - Barrie,Total - Time arriving at work,    Public transit,0.0
0103.03 - Barrie,Total - Time arriving at work,    Active transportation,0.0
0103.03 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0103.04 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",245.0
0103.04 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",90.0
0103.04 - Barrie,Total - Time arriving at work,    Public transit,0.0
0103.04 - Barrie,Total - Time arriving at work,    Active transportation,35.0
0103.04 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0103.05 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",165.0
0103.05 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0103.05 - Barrie,Total - Time arriving at work,    Public transit,0.0
0103.05 - Barrie,Total - Time arriving at work,    Active transportation,30.0
0103.05 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0103.06 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",490.0
0103.06 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",65.0
0103.06 - Barrie,Total - Time arriving at work,    Public transit,0.0
0103.06 - Barrie,Total - Time arriving at work,    Active transportation,65.0
0103.06 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0103.07 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",115.0
0103.07 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0103.07 - Barrie,Total - Time arriving at work,    Public transit,0.0
0103.07 - Barrie,Total - Time arriving at work,    Active transportation,0.0
0103.07 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0103.08 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",290.0
0103.08 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",50.0
0103.08 - Barrie,Total - Time arriving at work,    Public transit,0.0
0103.08 - Barrie,Total - Time arriving at work,    Active transportation,45.0
0103.08 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",95.0
0104.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.00 - Barrie,Total - Time arriving at work,    Public transit,0.0
0104.00 - Barrie,Total - Time arriving at work,    Active transportation,15.0
0104.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0200.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",400.0
0200.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0200.00 - Barrie,Total - Time arriving at work,    Public transit,0.0
0200.00 - Barrie,Total - Time arriving at work,    Active transportation,60.0
0200.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0201.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",1385.0
0201.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",60.0
0201.00 - Barrie,Total - Time arriving at work,    Public transit,10.0
0201.00 - Barrie,Total - Time arriving at work,    Active transportation,60.0
0201.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0202.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",445.0
0202.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0202.01 - Barrie,Total - Time arriving at work,    Public transit,0.0
0202.01 - Barrie,Total - Time arriving at work,    Active transportation,55.0
0202.01 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0202.02 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",495.0
0202.02 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",50.0
0202.02 - Barrie,Total - Time arriving at work,    Public transit,0.0
0202.02 - Barrie,Total - Time arriving at work,    Active transportation,90.0
0202.02 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
"Belleville - Quinte West (CMA) 522, Ont.",Total - Time arriving at work,"    Car, truck or van - as a driver",30185.0
"Belleville - Quinte West (CMA) 522, Ont.",Total - Time arriving at work,"    Car, truck or van - as a passenger",2455.0
"Belleville - Quinte West (CMA) 522, Ont.",Total - Time arriving at work,    Public transit,580.0
"Belleville - Quinte West (CMA) 522, Ont.",Total - Time arriving at work,    Active transportation,1800.0
"Belleville - Quinte West (CMA) 522, Ont.",Total - Time arriving at work,"  Motorcycle, scooter or moped",40.0
0001.00 - Belleville - Quinte West,Total - Time arriving at work,"    Car, truck or van - as a driver",70.0
0001.00 - Belleville - Quinte West,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0001.00 - Belleville - Quinte West,Total - Time arriving at work,    Public transit,0.0
0001.00 - Belleville - Quinte West,Total - Time arriving at work,    Active transportation,15.0
0001.00 - Belleville - Quinte West,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0002.00 - Belleville - Quinte West,Total - Time arriving at work,"    Car, truck or van - as a driver",610.0
0002.00 - Belleville - Quinte West,Total - Time arriving at work,"    Car, truck or van - as a passenger",75.0
0002.00 - Belleville - Quinte West,Total - Time arriving at work,    Public transit,15.0
0002.00 - Belleville - Quinte West,Total - Time arriving at work,    Active transportation,80.0
0002.00 - Belleville - Quinte West,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0003.00 - Belleville - Quinte West,Total - Time arriving at work,"    Car, truck or van - as a driver",1905.0
0003.00 - Belleville - Quinte West,Total - Time arriving at work,"    Car, truck or van - as a passenger",135.0
0003.00 - Belleville - Quinte West,Total - Time arriving at work,    Public transit,25.0
0003.00 - Belleville - Quinte West,Total - Time arriving at work,    Active transportation,150.0
0003.00 - Belleville - Quinte West,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0004.00 - Belleville - Quinte West,Total - Time arriving at work,"    Car, truck or van - as a driver",1060.0
0004.00 - Belleville - Quinte West,Total - Time arriving at work,"    Car, truck or van - as a passenger",55.0
0004.00 - Belleville - Quinte West,Total - Time arriving at work,    Public transit,0.0
0004.00 - Belleville - Quinte West,Total - Time arriving at work,    Active transportation,75.0
0004.00 - Belleville - Quinte West,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0005.00 - Belleville - Quinte West,Total - Time arriving at work,"    Car, truck or van - as a driver",1710.0
0005.00 - Belleville - Quinte West,Total - Time arriving at work,"    Car, truck or van - as a passenger",120.0
0005.00 - Belleville - Quinte West,Total - Time arriving at work,    Public transit,35.0
0005.00 - Belleville - Quinte West,Total - Time arriving at work,    Active transportation,150.0
